Kod;Proces;Warstwa;Grupa;Tory (role);Wlasciciel;Komorka;Aktywa AI;Systemy;Dane medyczne;BPMN;PNG;PDF
G4.01;Wypis pacjenta z oddziału (epikryza, karta wypisu);Główny;G4. Wypis / kontynuacja opieki;Lekarz prowadzący / Pielęgniarka / Sekcja Dokumentacji Medycznej;Lekarz prowadzący;Oddziały;AI-05, AI-01, AI-07;AW-S01 (Ruch Chorych, ZDM) + P1;Tak;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.01__Wypis-pacjenta-z-oddzialu-epikryza-karta-wypisu.bpmn;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.01__Wypis-pacjenta-z-oddzialu-epikryza-karta-wypisu.png;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.01__Wypis-pacjenta-z-oddzialu-epikryza-karta-wypisu.pdf
G4.02;Edukacja pacjenta i opiekunów przy wypisie;Główny;G4. Wypis / kontynuacja opieki;Pielęgniarka / Lekarz;Lekarz / Pielęgniarka / Dietetyk;Oddziały;AI-05;AW-S01 (ZDM);Tak;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.02__Edukacja-pacjenta-i-opiekunow-przy-wypisie.bpmn;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.02__Edukacja-pacjenta-i-opiekunow-przy-wypisie.png;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.02__Edukacja-pacjenta-i-opiekunow-przy-wypisie.pdf
G4.03;Przekazanie pacjenta do opieki POZ / AOS / opieki długoterminowej;Główny;G4. Wypis / kontynuacja opieki;Lekarz prowadzący / Koordynator opieki / Podmiot przejmujący;Lekarz prowadzący;Oddziały, Poradnie;AI-05, AI-06;AW-S01 (ZDM) + P1;Tak;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.03__Przekazanie-pacjenta-do-opieki-POZ-AOS-opieki-dlug.bpmn;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.03__Przekazanie-pacjenta-do-opieki-POZ-AOS-opieki-dlug.png;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.03__Przekazanie-pacjenta-do-opieki-POZ-AOS-opieki-dlug.pdf
G4.04;Wystawianie wniosków o turnusy/zaopatrzenie w wyroby medyczne;Główny;G4. Wypis / kontynuacja opieki;Lekarz / Koordynator;Lekarz;Poradnie, Oddziały;AI-05, AI-06;AW-S01 (ZDM);Tak;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.04__Wystawianie-wnioskow-o-turnusy-zaopatrzenie-w-wyro.bpmn;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.04__Wystawianie-wnioskow-o-turnusy-zaopatrzenie-w-wyro.png;2_Glowny_G/G4_Wypis-i-kontynuacja-opieki/G4.04__Wystawianie-wnioskow-o-turnusy-zaopatrzenie-w-wyro.pdf
G5.01;Zaopatrzenie w produkty lecznicze i wyroby medyczne;Główny;G5. Apteka szpitalna i farmakoterapia;Kierownik Apteki / Dostawca (zewn.) / Dział Finansowo-Księgowy;Kierownik Apteki;JO.SZ_KUP.APT (4922);;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.01__Zaopatrzenie-w-produkty-lecznicze-i-wyroby-medyczn.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.01__Zaopatrzenie-w-produkty-lecznicze-i-wyroby-medyczn.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.01__Zaopatrzenie-w-produkty-lecznicze-i-wyroby-medyczn.pdf
G5.02;Prowadzenie receptariusza szpitalnego;Główny;G5. Apteka szpitalna i farmakoterapia;Komitet Terapeutyczny / Apteka;Komitet Terapeutyczny / Apteka;JO.SZ_KUP.APT (4922);;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.02__Prowadzenie-receptariusza-szpitalnego.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.02__Prowadzenie-receptariusza-szpitalnego.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.02__Prowadzenie-receptariusza-szpitalnego.pdf
G5.03;Wydawanie leków na oddziały (zamówienia oddziałowe);Główny;G5. Apteka szpitalna i farmakoterapia;Oddział / Apteka;Apteka;JO.SZ_KUP.APT (4922);;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.03__Wydawanie-lekow-na-oddzialy-zamowienia-oddzialowe.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.03__Wydawanie-lekow-na-oddzialy-zamowienia-oddzialowe.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.03__Wydawanie-lekow-na-oddzialy-zamowienia-oddzialowe.pdf
G5.04;Sporządzanie leków recepturowych;Główny;G5. Apteka szpitalna i farmakoterapia;Farmaceuta / Lekarz;Farmaceuta;JO.SZ_KUP.APT (4922);;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.04__Sporzadzanie-lekow-recepturowych.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.04__Sporzadzanie-lekow-recepturowych.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.04__Sporzadzanie-lekow-recepturowych.pdf
G5.05;Obsługa środków odurzających i psychotropowych;Główny;G5. Apteka szpitalna i farmakoterapia;Apteka / Oddział;Apteka;JO.SZ_KUP.APT (4922);;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.05__Obsluga-srodkow-odurzajacych-i-psychotropowych.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.05__Obsluga-srodkow-odurzajacych-i-psychotropowych.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.05__Obsluga-srodkow-odurzajacych-i-psychotropowych.pdf
G5.06;Nadzór nad farmakoterapią (opieka farmaceutyczna);Główny;G5. Apteka szpitalna i farmakoterapia;Farmaceuta kliniczny / Lekarz / Pielęgniarka;Farmaceuta kliniczny;Oddziały;;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.06__Nadzor-nad-farmakoterapia-opieka-farmaceutyczna.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.06__Nadzor-nad-farmakoterapia-opieka-farmaceutyczna.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.06__Nadzor-nad-farmakoterapia-opieka-farmaceutyczna.pdf
G5.07;Pharmacovigilance - zgłaszanie NDL;Główny;G5. Apteka szpitalna i farmakoterapia;Personel zgłaszający / Apteka / Lekarz;Apteka / Lekarz;Apteka, Oddziały;;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.07__Pharmacovigilance-zglaszanie-NDL.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.07__Pharmacovigilance-zglaszanie-NDL.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.07__Pharmacovigilance-zglaszanie-NDL.pdf
G5.08;Dział Farmacji - zaopatrzenie szpitala rehab. w POK;Główny;G5. Apteka szpitalna i farmakoterapia;Kierownik Działu Farmacji / Dostawca (zewn.) / Dział Finansowo-Księgowy;Kierownik Działu Farmacji;JO.SZ_POK.4924;;;Tak;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.08__Dzial-Farmacji-zaopatrzenie-szpitala-rehab-w-POK.bpmn;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.08__Dzial-Farmacji-zaopatrzenie-szpitala-rehab-w-POK.png;2_Glowny_G/G5_Apteka-szpitalna-i-farmakoterapia/G5.08__Dzial-Farmacji-zaopatrzenie-szpitala-rehab-w-POK.pdf
G6.01;Proces pielęgnowania (rozpoznanie - planowanie - realizacja - ocena);Główny;G6. Pielęgniarstwo;Pielęgniarka;Pielęgniarka;Oddziały, Poradnie;;;Tak;2_Glowny_G/G6_Pielegniarstwo/G6.01__Proces-pielegnowania-rozpoznanie-planowanie-realiz.bpmn;2_Glowny_G/G6_Pielegniarstwo/G6.01__Proces-pielegnowania-rozpoznanie-planowanie-realiz.png;2_Glowny_G/G6_Pielegniarstwo/G6.01__Proces-pielegnowania-rozpoznanie-planowanie-realiz.pdf
G6.02;Standardy opieki pielęgniarskiej i nadzór jakości;Główny;G6. Pielęgniarstwo;Przełożona Pielęgniarek / Pielęgniarki;Przełożona Pielęgniarek;DM.PP;;;Tak;2_Glowny_G/G6_Pielegniarstwo/G6.02__Standardy-opieki-pielegniarskiej-i-nadzor-jakosci.bpmn;2_Glowny_G/G6_Pielegniarstwo/G6.02__Standardy-opieki-pielegniarskiej-i-nadzor-jakosci.png;2_Glowny_G/G6_Pielegniarstwo/G6.02__Standardy-opieki-pielegniarskiej-i-nadzor-jakosci.pdf
G6.03;Zarządzanie grafikami i normami obsady pielęgniarek;Główny;G6. Pielęgniarstwo;Przełożona Pielęgniarek / Dział Personalno-Płacowy;Przełożona Pielęgniarek / Oddziałowe;DM.PP, DM.PP.PO;;;Tak;2_Glowny_G/G6_Pielegniarstwo/G6.03__Zarzadzanie-grafikami-i-normami-obsady-pielegniare.bpmn;2_Glowny_G/G6_Pielegniarstwo/G6.03__Zarzadzanie-grafikami-i-normami-obsady-pielegniare.png;2_Glowny_G/G6_Pielegniarstwo/G6.03__Zarzadzanie-grafikami-i-normami-obsady-pielegniare.pdf
G6.04;Doskonalenie zawodowe i specjalizacje pielęgniarskie;Główny;G6. Pielęgniarstwo;Przełożona Pielęgniarek / Pielęgniarka;Przełożona Pielęgniarek;DM.PP;;;Tak;2_Glowny_G/G6_Pielegniarstwo/G6.04__Doskonalenie-zawodowe-i-specjalizacje-pielegniarsk.bpmn;2_Glowny_G/G6_Pielegniarstwo/G6.04__Doskonalenie-zawodowe-i-specjalizacje-pielegniarsk.png;2_Glowny_G/G6_Pielegniarstwo/G6.04__Doskonalenie-zawodowe-i-specjalizacje-pielegniarsk.pdf
G6.05;Planowanie żywienia pacjentów i diety specjalistyczne;Główny;G6. Pielęgniarstwo - dietetyka;Dietetyk / Oddział / Kuchnia;Dietetyk;DM.PP.D;;;Tak;2_Glowny_G/G6_Pielegniarstwo/G6.05__Planowanie-zywienia-pacjentow-i-diety-specjalistyc.bpmn;2_Glowny_G/G6_Pielegniarstwo/G6.05__Planowanie-zywienia-pacjentow-i-diety-specjalistyc.png;2_Glowny_G/G6_Pielegniarstwo/G6.05__Planowanie-zywienia-pacjentow-i-diety-specjalistyc.pdf
G7.01;Nadzór nad zakażeniami szpitalnymi;Główny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epidemiologiczna / Oddziały / Komitet ds. Zakażeń;Pielęgniarka epidemiologiczna / Zespół Kontroli Zakażeń;DM.DHiE / JO.SZ_KUP.DHiE (9200);;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.01__Nadzor-nad-zakazeniami-szpitalnymi.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.01__Nadzor-nad-zakazeniami-szpitalnymi.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.01__Nadzor-nad-zakazeniami-szpitalnymi.pdf
G7.02;Rejestr drobnoustrojów alarmowych - monitorowanie;Główny;G7. Higiena, epidemiologia, zakażenia;Laboratorium / Pielęgniarka epidemiologiczna;Pielęgniarka epidemiologiczna;JO.SZ_KUP.DHiE (9200);;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.02__Rejestr-drobnoustrojow-alarmowych-monitorowanie.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.02__Rejestr-drobnoustrojow-alarmowych-monitorowanie.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.02__Rejestr-drobnoustrojow-alarmowych-monitorowanie.pdf
G7.03;Polityka antybiotykowa (stewardship);Główny;G7. Higiena, epidemiologia, zakażenia;Komitet Antybiotykowy / Lekarze / Apteka;Komitet Antybiotykowy / Lekarz;DM.DHiE;;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.03__Polityka-antybiotykowa-stewardship.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.03__Polityka-antybiotykowa-stewardship.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.03__Polityka-antybiotykowa-stewardship.pdf
G7.04;Dezynfekcja, sterylizacja, dekontaminacja;Główny;G7. Higiena, epidemiologia, zakażenia;Personel sterylizacji / Dział Techniczny;Pielęgniarki / DT;DM.DHiE, DI.DT;;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.04__Dezynfekcja-sterylizacja-dekontaminacja.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.04__Dezynfekcja-sterylizacja-dekontaminacja.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.04__Dezynfekcja-sterylizacja-dekontaminacja.pdf
G7.05;Postępowanie z odpadami medycznymi;Główny;G7. Higiena, epidemiologia, zakażenia;Personel / DHiE / Dział Techniczny / Odbiorca (zewn.);DI.DT / DM.DHiE;DI.DT, DM.DHiE;;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.05__Postepowanie-z-odpadami-medycznymi.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.05__Postepowanie-z-odpadami-medycznymi.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.05__Postepowanie-z-odpadami-medycznymi.pdf
G7.06;Monitorowanie i promocja higieny rąk;Główny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epidemiologiczna / Personel;Pielęgniarka epidemiologiczna;DM.DHiE;;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.06__Monitorowanie-i-promocja-higieny-rak.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.06__Monitorowanie-i-promocja-higieny-rak.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.06__Monitorowanie-i-promocja-higieny-rak.pdf
G7.07;Postępowanie antyepidemiczne (ekspozycje zawodowe, epidemie);Główny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epidemiologiczna / Lekarz / Medycyna pracy;Pielęgniarka epid. / DM.DHiE;DM.DHiE;;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.07__Postepowanie-antyepidemiczne-ekspozycje-zawodowe-e.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.07__Postepowanie-antyepidemiczne-ekspozycje-zawodowe-e.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.07__Postepowanie-antyepidemiczne-ekspozycje-zawodowe-e.pdf
G7.08;Szkolenia personelu w zakresie zakażeń;Główny;G7. Higiena, epidemiologia, zakażenia;Dział Higieny i Epidemiologii / Personel;DM.DHiE;DM.DHiE;;;Tak;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.08__Szkolenia-personelu-w-zakresie-zakazen.bpmn;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.08__Szkolenia-personelu-w-zakresie-zakazen.png;2_Glowny_G/G7_Higiena-epidemiologia-zakazenia/G7.08__Szkolenia-personelu-w-zakresie-zakazen.pdf
G8.01;Prowadzenie dokumentacji medycznej (papierowej i EDM);Główny;G8. Dokumentacja medyczna i archiwum;Personel medyczny / System EDM / P1;Personel medyczny;Wszystkie komórki medyczne;AI-05, AI-53, AI-57, AI-61;AW-S01, AW-S05, AW-S10, AW-S21;Tak;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.01__Prowadzenie-dokumentacji-medycznej-papierowej-i-ED.bpmn;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.01__Prowadzenie-dokumentacji-medycznej-papierowej-i-ED.png;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.01__Prowadzenie-dokumentacji-medycznej-papierowej-i-ED.pdf
G8.02;Udostępnianie dokumentacji medycznej (pacjent, organy, podmioty);Główny;G8. Dokumentacja medyczna i archiwum;Wnioskodawca / Sekcja Dokumentacji Medycznej;SDM;DM.SDM;AI-05, AI-57;AW-S09, AW-S05;Tak;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.02__Udostepnianie-dokumentacji-medycznej-pacjent-organ.bpmn;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.02__Udostepnianie-dokumentacji-medycznej-pacjent-organ.png;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.02__Udostepnianie-dokumentacji-medycznej-pacjent-organ.pdf
G8.03;Archiwizacja i przechowywanie dokumentacji medycznej;Główny;G8. Dokumentacja medyczna i archiwum;Sekcja Dokumentacji Medycznej;SDM;DM.SDM;AI-05;AW-S09;Tak;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.03__Archiwizacja-i-przechowywanie-dokumentacji-medyczn.bpmn;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.03__Archiwizacja-i-przechowywanie-dokumentacji-medyczn.png;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.03__Archiwizacja-i-przechowywanie-dokumentacji-medyczn.pdf
G8.04;Brakowanie/niszczenie dokumentacji po okresie przechowywania;Główny;G8. Dokumentacja medyczna i archiwum;Sekcja Dokumentacji Medycznej / Zarząd;SDM;DM.SDM;AI-05;AW-S09;Tak;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.04__Brakowanie-niszczenie-dokumentacji-po-okresie-prze.bpmn;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.04__Brakowanie-niszczenie-dokumentacji-po-okresie-prze.png;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.04__Brakowanie-niszczenie-dokumentacji-po-okresie-prze.pdf
G8.05;Integracja z platformą P1 (EDM, IKP);Główny;G8. Dokumentacja medyczna i archiwum;System EDM / Administratorzy IT / Platforma P1;DI.DI / SDM;DI.DI, DM.SDM;AI-05, AI-06, AI-07;AW-S05, AW-S08, AW-S09;Tak;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.05__Integracja-z-platforma-P1-EDM-IKP.bpmn;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.05__Integracja-z-platforma-P1-EDM-IKP.png;2_Glowny_G/G8_Dokumentacja-medyczna-i-archiwum/G8.05__Integracja-z-platforma-P1-EDM-IKP.pdf
G9.01;Sprawozdawczość bieżąca do NFZ (komunikaty SWIAD, KOLEJKI);Główny;G9. Rozliczenia świadczeń (NFZ) i statystyka;Dział Rozliczeń Świadczeń / NFZ (system);DRZ;DM.DRZ;;;Tak;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.01__Sprawozdawczosc-biezaca-do-NFZ-komunikaty-SWIAD-KO.bpmn;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.01__Sprawozdawczosc-biezaca-do-NFZ-komunikaty-SWIAD-KO.png;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.01__Sprawozdawczosc-biezaca-do-NFZ-komunikaty-SWIAD-KO.pdf
G9.02;Rozliczanie świadczeń (JGP, ryczałt PSZ, AOS);Główny;G9. Rozliczenia świadczeń (NFZ) i statystyka;Dział Rozliczeń Świadczeń / NFZ / Dział Finansowo-Księgowy;DRZ;DM.DRZ;;;Tak;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.02__Rozliczanie-swiadczen-JGP-ryczalt-PSZ-AOS.bpmn;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.02__Rozliczanie-swiadczen-JGP-ryczalt-PSZ-AOS.png;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.02__Rozliczanie-swiadczen-JGP-ryczalt-PSZ-AOS.pdf
G9.03;Sprawozdawczość statystyczna (MZ-29, MZ-11, GUS);Główny;G9. Rozliczenia świadczeń (NFZ) i statystyka;Dział Rozliczeń Świadczeń / GUS / MZ;DRZ;DM.DRZ;;;Nie;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.03__Sprawozdawczosc-statystyczna-MZ-29-MZ-11-GUS.bpmn;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.03__Sprawozdawczosc-statystyczna-MZ-29-MZ-11-GUS.png;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.03__Sprawozdawczosc-statystyczna-MZ-29-MZ-11-GUS.pdf
G9.04;Obsługa kontroli NFZ;Główny;G9. Rozliczenia świadczeń (NFZ) i statystyka;NFZ / Dział Rozliczeń Świadczeń / Zarząd;DRZ / Zarząd;DM.DRZ, Z;;;Tak;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.04__Obsluga-kontroli-NFZ.bpmn;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.04__Obsluga-kontroli-NFZ.png;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.04__Obsluga-kontroli-NFZ.pdf
G9.05;Wystawianie faktur za świadczenia komercyjne;Główny;G9. Rozliczenia świadczeń (NFZ) i statystyka;Dział Rozliczeń Świadczeń / Dział Finansowo-Księgowy;DRZ / DFK;DM.DRZ, K.DFK;;;Nie;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.05__Wystawianie-faktur-za-swiadczenia-komercyjne.bpmn;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.05__Wystawianie-faktur-za-swiadczenia-komercyjne.png;2_Glowny_G/G9_Rozliczenia-swiadczen-NFZ-i-statystyka/G9.05__Wystawianie-faktur-za-swiadczenia-komercyjne.pdf
G10.01;Transport sanitarny pacjentów (planowy i pilny);Główny;G10. Transport medyczny;Zlecający / Dyspozytor / Zespół Transportu Medycznego;Zespół Transportu Med.;JO.POR_KUP.9250;;;Tak;2_Glowny_G/G10_Transport-medyczny/G10.01__Transport-sanitarny-pacjentow-planowy-i-pilny.bpmn;2_Glowny_G/G10_Transport-medyczny/G10.01__Transport-sanitarny-pacjentow-planowy-i-pilny.png;2_Glowny_G/G10_Transport-medyczny/G10.01__Transport-sanitarny-pacjentow-planowy-i-pilny.pdf
G10.02;Transport materiału biologicznego do laboratorium;Główny;G10. Transport medyczny;Punkt pobrań / Zespół Transportu Medycznego / Laboratorium;Zespół Transportu Med.;JO.POR_KUP.9250;;;Tak;2_Glowny_G/G10_Transport-medyczny/G10.02__Transport-materialu-biologicznego-do-laboratorium.bpmn;2_Glowny_G/G10_Transport-medyczny/G10.02__Transport-materialu-biologicznego-do-laboratorium.png;2_Glowny_G/G10_Transport-medyczny/G10.02__Transport-materialu-biologicznego-do-laboratorium.pdf
G10.03;Utrzymanie pojazdów transportu medycznego;Główny;G10. Transport medyczny;Zespół Transportu Medycznego / Dział Techniczny;Zespół Transportu Med. / DI.DT;JO.POR_KUP.9250, DI.DT;;;Nie;2_Glowny_G/G10_Transport-medyczny/G10.03__Utrzymanie-pojazdow-transportu-medycznego.bpmn;2_Glowny_G/G10_Transport-medyczny/G10.03__Utrzymanie-pojazdow-transportu-medycznego.png;2_Glowny_G/G10_Transport-medyczny/G10.03__Utrzymanie-pojazdow-transportu-medycznego.pdf
W1.01;Polityka rachunkowości i prowadzenie ksiąg rachunkowych;Wspierający;W1. Finanse i rachunkowość;Główny Księgowy / Dział Finansowo-Księgowy / Zarząd;Główny Księgowy;K / K.DFK;;;Nie;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.01__Polityka-rachunkowosci-i-prowadzenie-ksiag-rachunk.bpmn;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.01__Polityka-rachunkowosci-i-prowadzenie-ksiag-rachunk.png;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.01__Polityka-rachunkowosci-i-prowadzenie-ksiag-rachunk.pdf
W1.02;Budżetowanie i planowanie finansowe (plan rzeczowo-finansowy);Wspierający;W1. Finanse i rachunkowość;Komórki / Dyrektorzy / Główny Księgowy / Zarząd;Główny Księgowy / Zarząd;K, Z;;;Nie;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.02__Budzetowanie-i-planowanie-finansowe-plan-rzeczowo.bpmn;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.02__Budzetowanie-i-planowanie-finansowe-plan-rzeczowo.png;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.02__Budzetowanie-i-planowanie-finansowe-plan-rzeczowo.pdf
W1.03;Księgowanie przychodów NFZ i komercyjnych;Wspierający;W1. Finanse i rachunkowość;Dział Finansowo-Księgowy / Dział Rozliczeń Świadczeń;DFK;K.DFK;;;Nie;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.03__Ksiegowanie-przychodow-NFZ-i-komercyjnych.bpmn;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.03__Ksiegowanie-przychodow-NFZ-i-komercyjnych.png;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.03__Ksiegowanie-przychodow-NFZ-i-komercyjnych.pdf
W1.04;Zarządzanie należnościami i windykacja;Wspierający;W1. Finanse i rachunkowość;Dział Finansowo-Księgowy / Radca prawny;DFK;K.DFK;;;Nie;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.04__Zarzadzanie-naleznosciami-i-windykacja.bpmn;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.04__Zarzadzanie-naleznosciami-i-windykacja.png;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.04__Zarzadzanie-naleznosciami-i-windykacja.pdf
W1.05;Zarządzanie zobowiązaniami i płatnościami;Wspierający;W1. Finanse i rachunkowość;Komórka zamawiająca / Dział Finansowo-Księgowy;DFK;K.DFK;;;Nie;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.05__Zarzadzanie-zobowiazaniami-i-platnosciami.bpmn;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.05__Zarzadzanie-zobowiazaniami-i-platnosciami.png;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.05__Zarzadzanie-zobowiazaniami-i-platnosciami.pdf
W1.06;Rachunek kosztów świadczeń (sprawozdawczość AOTMiT);Wspierający;W1. Finanse i rachunkowość;Dział Finansowo-Księgowy / Dział Rozliczeń Świadczeń;DFK / DRZ;K.DFK, DM.DRZ;;;Nie;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.06__Rachunek-kosztow-swiadczen-sprawozdawczosc-AOTMiT.bpmn;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.06__Rachunek-kosztow-swiadczen-sprawozdawczosc-AOTMiT.png;3_Wspierajacy_W/W1_Finanse-i-rachunkowosc/W1.06__Rachunek-kosztow-swiadczen-sprawozdawczosc-AOTMiT.pdf
